Formas de Pago,Matrícula al día,Becario,Situación laboral,Facultad,Orden de solicitud,Modo de solicitud,Procedencia,Vivienda,Necesidades educativas especiales,Trasladado(a),Género,Crianza Adventista,Estado civil,Titulación de la madre,Titulación del padre,Ocupación de la madre,Ocupación del padre,Promedio ponderado del semestre,Asistencia (%),Desarrollo de Tareas (%),tasa_aprobacion,tasa_evaluacion,carga_aprobada,backlog_eval,backlog_aprob,Deuda,deuda_neta,conflicto_trabajo_estudio,trabajo_ordinal,Edad,¿La distancia y la separación de mi familia para estudiar en la universidad me hacen considerar abandonar mis estudios.?,¿La incompatibilidad entre mis horarios de trabajo y las clases me llevaría a abandonar la carrera.?,¿La calidad de la enseñanza y las metodologías docentes me desmotivan al punto de pensar en abandonar?,"¿La falta de recursos económicos, becas o facilidades de pago me haría interrumpir mis estudios?","¿Me siento poco integrado/a con mis compañeros y actividades universitarias, lo que me hace pensar en abandonar?","¿El estrés, la ansiedad u otros problemas de bienestar asociados a la vida universitaria me hacen considerar abandonar?",¿La falta de seguridad dentro o cerca del campus influye en mi intención de abandonar?,¿La retroalimentación tardía o poco clara de los docentes afecta mi continuidad y me hace pensar en abandonar?,¿La carrera/facultad donde estoy matriculado no cumple mis expectativas y me hace pensar en retirarme?,¿La dificultad de los cursos supera mis capacidades actuales y me lleva a considerar dejar la universidad?,¿Cuento con poco apoyo familiar para continuar mis estudios y eso me hace considerar el abandono?,"¿Me cuesta adaptarme a la cultura y normas institucionales, lo que afecta mi permanencia?","¿No veo una trayectoria profesional clara a partir de mi carrera actual, por lo que consideraría retirarme?",Condición Final,target_deserto
Armadas,Sí,No,No Trabaja,Ciencias Empresariales,Segunda Opción,Ingreso directo,Lima,Alquila cuarto,No,No,H,Sí,Soltero,Secundaria,Técnica,Otros / no especificado,Desempleado / sin ocupación,12.53,91.2,80.5,0.6666666666666666,1.0,0.6666666666666666,0,2,916.93,123.43999999999994,0,0,16,2,1,1,2,3,3,1,3,4,2,4,1,1,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias Humanas y Educación,Tercera Opción,Examen de admisión ordinario,Extranjero,Residencia,No,No,M,No,Soltero,Secundaria,Técnica,Obreros / trabajadores manuales,Obreros / trabajadores manuales,14.42,88.8,93.9,0.6666666666666666,0.75,0.5,1,1,822.14,779.37,0,0,26,5,5,4,4,1,3,3,1,4,1,5,3,1,Graduado,0
Contado,Sí,No,Tiempo completo,Ingeniería y Arquitectura,Segunda Opción,Examen de admisión ordinario,Provincia,Familiares,No,No,H,Sí,Soltero,Secundaria,Técnica,Ama de casa / labores del hogar,Comerciantes / vendedores,10.88,84.0,69.4,0.5,1.0,0.5,0,4,1479.2,1231.6000000000001,10,2,16,1,5,1,3,1,3,5,1,5,5,2,3,4,Graduado,0
Contado,Sí,No,Medio Tiempo,Ingeniería y Arquitectura,Primera Opción,Ingreso directo,Lima,Alquila cuarto,No,No,M,Sí,Soltero,Técnica,Secundaria,Comerciantes / vendedores,Comerciantes / vendedores,11.71,90.6,74.9,0.6,0.8333333333333334,0.5,1,2,41.4,-344.86,1,1,20,3,1,2,3,1,3,1,1,3,5,3,4,1,Desertó,1
Contado,Sí,No,No Trabaja,Ingeniería y Arquitectura,Segunda Opción,Ingreso directo,Lima,Familiares,No,No,M,No,Soltero,Técnica,Primaria,Otros / no especificado,Profesionales y técnicos,12.27,76.6,76.0,0.6666666666666666,0.75,0.5,1,1,574.41,559.1999999999999,0,0,20,5,1,4,2,2,1,5,1,4,2,3,1,2,Graduado,0
Armadas,Sí,No,Medio Tiempo,Ciencias Humanas y Educación,Primera Opción,Examen de admisión ordinario,Lima,Residencia,No,No,M,No,Soltero,Educación Superior,Secundaria,Comerciantes / vendedores,Comerciantes / vendedores,10.68,82.5,88.4,0.5,1.0,0.5,0,2,227.53,9.310000000000002,5,1,22,1,5,1,2,1,3,1,4,2,2,4,1,1,Graduado,0
Otros,Sí,No,No Trabaja,Ciencias Humanas y Educación,Primera Opción,Examen de admisión ordinario,Provincia,Familiares,No,No,M,Sí,Soltero,Primaria,Primaria,Ama de casa / labores del hogar,Otros / no especificado,10.43,80.3,87.5,0.5,1.0,0.5,0,2,2702.34,1806.3200000000002,0,0,18,5,5,5,5,1,5,5,5,4,5,3,3,4,Graduado,0
Contado,Sí,No,No Trabaja,Ciencias Empresariales,Segunda Opción,Examen de admisión ordinario,Lima,Alquila cuarto,No,No,M,Sí,Soltero,Técnica,Primaria,Empleados administrativos / de oficina,Comerciantes / vendedores,18.0,86.3,63.7,0.8333333333333334,1.0,0.8333333333333334,0,1,1084.63,748.8700000000001,0,0,16,3,1,4,4,1,2,3,3,5,3,1,4,5,Desertó,1
Armadas,Sí,No,Tiempo completo,Ciencias Empresariales,Segunda Opción,Examen de admisión ordinario,Provincia,Residencia,No,No,H,No,Soltero,Sin estudios,Secundaria,Obreros / trabajadores manuales,Obreros / trabajadores manuales,15.36,97.5,100.0,0.7142857142857143,1.0,0.7142857142857143,0,2,833.94,334.32000000000005,10,2,19,3,5,3,5,1,2,4,4,4,1,3,5,5,Graduado,0
Contado,Sí,Sí,Medio Tiempo,Ciencias Empresariales,Primera Opción,Examen de admisión ordinario,Provincia,Familiares,No,No,H,No,Soltero,Secundaria,Secundaria,Otros / no especificado,Agricultores / ganaderos / pescadores,12.41,73.9,71.7,0.6,1.0,0.6,0,2,2377.09,1818.14,5,1,24,3,5,1,1,5,4,3,5,4,3,1,3,2,Graduado,0
Armadas,Sí,Sí,No Trabaja,Ciencias Humanas y Educación,Segunda Opción,Examen de admisión ordinario,Lima,Familiares,No,No,M,No,Soltero,Técnica,Secundaria,Profesionales y técnicos,Militares / policías / fuerzas del orden,14.46,84.3,84.0,0.75,0.8,0.6,1,1,2014.7,1500.1,0,0,22,1,5,1,5,1,1,5,4,5,2,5,5,5,Graduado,0
Armadas,Sí,No,Medio Tiempo,Ciencias Empresariales,Primera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,M,No,Soltero,Secundaria,Primaria,Ama de casa / labores del hogar,Obreros / trabajadores manuales,11.0,92.1,88.4,0.5714285714285714,0.875,0.5,1,3,284.43,1.670000000000016,2,1,22,4,2,2,5,1,4,4,5,3,4,4,4,4,Graduado,0
Otros,Sí,No,Tiempo completo,Ciencias Humanas y Educación,Primera Opción,Examen de admisión ordinario,Lima,Alquila cuarto,No,No,M,No,Soltero,Técnica,Educación Superior,Obreros / trabajadores manuales,Desempleado / sin ocupación,11.52,65.3,84.5,0.6666666666666666,0.8571428571428571,0.5714285714285714,1,2,647.08,441.09000000000003,8,2,20,1,4,1,1,5,5,1,5,5,5,4,1,2,Graduado,0
Contado,No,No,No Trabaja,Ciencias de la Salud,Primera Opción,Ingreso por convenio o beca especial,Lima,Alquila cuarto,No,No,H,Sí,Soltero,Educación Superior,Secundaria,Profesionales y técnicos,Empleados administrativos / de oficina,12.51,79.0,82.4,0.6666666666666666,1.0,0.6666666666666666,0,2,282.77,191.39,0,0,22,2,1,4,1,4,2,2,5,4,2,4,3,5,Graduado,0
Armadas,No,No,No Trabaja,Ciencias de la Salud,Primera Opción,Examen de admisión ordinario,Lima,Residencia,No,No,M,No,Soltero,Técnica,Técnica,Obreros / trabajadores manuales,Agricultores / ganaderos / pescadores,5.0,88.9,84.5,0.16666666666666666,0.8571428571428571,0.14285714285714285,1,5,33.14,-567.0500000000001,0,0,24,5,4,5,4,4,3,1,2,5,5,5,3,3,Graduado,0
Contado,Sí,No,No Trabaja,Ingeniería y Arquitectura,Primera Opción,Ingreso por convenio o beca especial,Provincia,Residencia,No,No,M,Sí,Soltero,Técnica,Primaria,Otros / no especificado,Obreros / trabajadores manuales,15.97,92.7,85.6,0.8,1.0,0.8,0,1,1146.94,16.65000000000009,0,0,27,1,2,1,5,3,1,4,5,3,1,5,1,5,Graduado,0
Armadas,Sí,Sí,No Trabaja,Ciencias Humanas y Educación,Primera Opción,Examen de admisión ordinario,Provincia,Residencia,No,Sí,H,Sí,Soltero,Educación Superior,Técnica,Ama de casa / labores del hogar,Agricultores / ganaderos / pescadores,13.91,70.8,98.3,0.6,1.0,0.6,0,2,813.05,-538.3300000000002,0,0,21,5,4,3,1,3,5,2,5,1,5,5,4,4,Desertó,1
Armadas,Sí,No,No Trabaja,Ciencias de la Salud,Primera Opción,Examen de admisión ordinario,Provincia,Familiares,No,No,M,Sí,Soltero,Secundaria,Secundaria,Otros / no especificado,Obreros / trabajadores manuales,14.91,84.5,87.6,0.8,0.8333333333333334,0.6666666666666666,1,1,1032.64,608.2700000000001,0,0,21,5,1,1,5,1,1,2,1,1,1,1,2,5,Graduado,0
Armadas,Sí,Sí,No Trabaja,Ciencias de la Salud,Primera Opción,Examen de admisión ordinario,Extranjero,Familiares,No,No,H,Sí,Soltero,Educación Superior,Educación Superior,Empleados administrativos / de oficina,Empleados administrativos / de oficina,16.35,89.7,79.3,0.8571428571428571,0.875,0.75,1,1,539.29,266.73999999999995,0,0,20,5,3,4,4,1,1,5,1,1,1,2,5,4,Graduado,0
Contado,Sí,No,No Trabaja,Ciencias Empresariales,Segunda Opción,Ingreso por reingreso,Lima,Familiares,No,No,H,Sí,Soltero,Secundaria,Técnica,Obreros / trabajadores manuales,Comerciantes / vendedores,9.37,98.6,57.8,0.4,1.0,0.4,0,3,1185.77,68.54999999999995,0,0,25,1,5,1,4,2,4,5,1,2,2,1,2,5,Desertó,1
Armadas,Sí,No,Medio Tiempo,Ingeniería y Arquitectura,Primera Opción,Ingreso directo,Provincia,Familiares,No,No,M,Sí,Soltero,Educación Superior,Educación Superior,Profesionales y técnicos,Servicios personales y domésticos,8.78,66.8,83.5,0.5,0.8,0.4,1,2,224.41,-137.41,5,1,24,5,5,3,5,2,5,5,1,2,3,3,1,3,Desertó,1
Contado,Sí,No,No Trabaja,Ciencias Humanas y Educación,Segunda Opción,Ingreso directo,Lima,Residencia,No,No,M,No,Soltero,Secundaria,Educación Superior,Agricultores / ganaderos / pescadores,Obreros / trabajadores manuales,6.8,84.7,91.2,0.3333333333333333,0.8571428571428571,0.2857142857142857,1,4,1731.06,1447.9499999999998,0,0,18,1,1,1,5,3,1,4,1,2,5,2,5,1,Graduado,0
Contado,No,No,No Trabaja,Ciencias Empresariales,Tercera Opción,Examen de admisión ordinario,Lima,Residencia,No,No,M,Sí,Soltero,Primaria,Primaria,Comerciantes / vendedores,Profesionales y técnicos,20.0,79.2,72.5,1.0,0.8333333333333334,0.8333333333333334,1,0,1213.81,137.27999999999997,0,0,24,1,1,3,4,3,1,3,1,1,2,4,4,5,Desertó,1
Armadas,Sí,No,Medio Tiempo,Ciencias Empresariales,Primera Opción,Examen de admisión ordinario,Provincia,Familiares,No,No,M,Sí,Soltero,Secundaria,Primaria,Comerciantes / vendedores,Comerciantes / vendedores,10.98,94.6,80.6,0.5,1.0,0.5,0,4,475.25,266.1,5,1,21,5,5,2,5,2,5,3,1,5,5,2,1,1,Graduado,0
Armadas,Sí,No,No Trabaja,Ingeniería y Arquitectura,Primera Opción,Examen de admisión ordinario,Lima,Alquila cuarto,No,No,M,Sí,Soltero,Técnica,Secundaria,Ama de casa / labores del hogar,Empleados administrativos / de oficina,12.11,84.6,84.1,0.6666666666666666,0.75,0.5,1,1,1631.6,1509.82,0,0,20,1,5,3,2,1,4,1,4,1,5,5,3,1,Graduado,0
Contado,Sí,Sí,Medio Tiempo,Ingeniería y Arquitectura,Primera Opción,Ingreso directo,Provincia,Alquila cuarto,No,No,M,Sí,Soltero,Técnica,Educación Superior,Ama de casa / labores del hogar,Comerciantes / vendedores,9.27,88.6,78.9,0.4,0.8333333333333334,0.3333333333333333,1,3,251.39,-124.21000000000004,1,1,21,5,1,2,5,2,1,4,1,3,3,4,2,4,Graduado,0
Contado,No,No,No Trabaja,Teología,Primera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,M,Sí,Soltero,Técnica,Técnica,Profesionales y técnicos,Militares / policías / fuerzas del orden,10.85,79.3,82.6,0.6,1.0,0.6,0,2,1921.08,1435.79,0,0,22,2,4,2,1,3,5,4,2,5,5,2,5,2,Desertó,1
Contado,No,No,No Trabaja,Ciencias Empresariales,Segunda Opción,Ingreso por convenio o beca especial,Provincia,Residencia,No,No,H,No,Soltero,Técnica,Técnica,Empleados administrativos / de oficina,Profesionales y técnicos,9.34,74.6,74.2,0.5,0.8571428571428571,0.42857142857142855,1,3,93.11,-723.04,0,0,19,1,1,3,4,3,5,2,5,5,4,5,4,3,Graduado,0
Armadas,No,No,No Trabaja,Ciencias Empresariales,Primera Opción,Ingreso por convenio o beca especial,Lima,Familiares,No,Sí,M,No,Casado,Técnica,Técnica,Otros / no especificado,Profesionales y técnicos,15.2,83.3,62.8,0.8,1.0,0.8,0,1,390.13,-101.11000000000001,0,0,19,5,1,4,5,3,5,5,3,4,3,5,2,5,Desertó,1
Armadas,Sí,No,Tiempo completo,Ciencias Empresariales,Tercera Opción,Examen de admisión ordinario,Lima,Alquila cuarto,No,No,M,No,Casado,Secundaria,Técnica,Ama de casa / labores del hogar,Militares / policías / fuerzas del orden,11.82,100.0,73.0,0.5714285714285714,0.875,0.5,1,3,521.85,-419.94999999999993,10,2,28,5,5,2,4,2,1,5,3,5,5,5,4,1,Graduado,0
Armadas,No,No,No Trabaja,Ciencias Empresariales,Segunda Opción,Examen de admisión ordinario,Provincia,Familiares,No,No,H,Sí,Soltero,Secundaria,Educación Superior,Desempleado / sin ocupación,Comerciantes / vendedores,11.12,83.5,73.8,0.6666666666666666,0.75,0.5,1,1,148.56,-240.43,0,0,22,1,5,5,4,1,5,4,1,5,1,1,4,4,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias Empresariales,Segunda Opción,Ingreso por traslado interno,Provincia,Alquila cuarto,No,No,H,Sí,Soltero,Técnica,Técnica,Empleados administrativos / de oficina,Obreros / trabajadores manuales,13.27,83.7,82.8,0.75,1.0,0.75,0,1,3262.28,3060.4,0,0,23,3,3,4,5,5,2,1,2,5,1,1,4,5,Graduado,0
Armadas,No,No,No Trabaja,Ciencias Empresariales,Tercera Opción,Examen de admisión ordinario,Lima,Residencia,No,Sí,H,Sí,Soltero,Secundaria,Educación Superior,Profesionales y técnicos,Obreros / trabajadores manuales,9.75,96.3,86.9,0.42857142857142855,1.0,0.42857142857142855,0,4,45.35,-218.29999999999998,0,0,23,1,1,5,3,1,5,3,1,5,5,5,5,4,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias Empresariales,Primera Opción,Examen de admisión ordinario,Provincia,Residencia,No,No,H,Sí,Soltero,Secundaria,Secundaria,Desempleado / sin ocupación,Obreros / trabajadores manuales,13.97,97.4,79.7,0.75,0.8,0.6,1,1,1371.96,410.89,0,0,22,5,2,4,5,1,4,4,1,1,1,1,4,5,Desertó,1
Contado,Sí,No,No Trabaja,Ciencias Empresariales,Primera Opción,Examen de admisión ordinario,Lima,Residencia,No,No,H,No,Soltero,Técnica,Educación Superior,Profesionales y técnicos,Desempleado / sin ocupación,11.38,99.5,80.5,0.5,1.0,0.5,0,2,22.49,-913.24,0,0,19,4,1,3,5,5,1,1,1,3,3,3,5,2,Graduado,0
Armadas,Sí,No,No Trabaja,Ingeniería y Arquitectura,Primera Opción,Ingreso directo,Lima,Familiares,No,No,H,Sí,Soltero,Educación Superior,Educación Superior,Ama de casa / labores del hogar,Comerciantes / vendedores,13.9,83.5,65.0,0.6666666666666666,0.75,0.5,1,1,181.3,-58.31,0,0,25,1,1,1,3,3,3,1,2,3,2,3,5,1,Graduado,0
Armadas,No,No,No Trabaja,Ingeniería y Arquitectura,Primera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,H,Sí,Soltero,Educación Superior,Educación Superior,Profesionales y técnicos,Servicios personales y domésticos,10.72,79.2,73.9,0.5,1.0,0.5,0,2,2345.72,1896.0199999999998,0,0,26,2,5,1,5,1,5,5,2,3,5,1,2,5,Desertó,1
Contado,Sí,No,Medio Tiempo,Ciencias Humanas y Educación,Primera Opción,Ingreso por convenio o beca especial,Lima,Alquila cuarto,No,No,H,No,Soltero,Educación Superior,Secundaria,Ama de casa / labores del hogar,Obreros / trabajadores manuales,8.96,72.9,81.4,0.5,1.0,0.5,0,2,1072.83,786.4699999999999,5,1,24,4,5,1,5,1,3,2,5,1,5,2,1,1,Desertó,1
Armadas,Sí,No,No Trabaja,Ingeniería y Arquitectura,Primera Opción,Ingreso directo,Lima,Residencia,No,No,M,No,Soltero,Secundaria,Educación Superior,Profesionales y técnicos,Servicios personales y domésticos,12.96,71.5,82.4,0.7142857142857143,1.0,0.7142857142857143,0,2,325.99,-72.38,0,0,19,2,4,1,2,3,3,5,5,4,3,1,2,5,Graduado,0
Armadas,Sí,Sí,Medio Tiempo,Ingeniería y Arquitectura,Tercera Opción,Examen de admisión ordinario,Lima,Alquila cuarto,No,No,M,Sí,Soltero,Técnica,Primaria,Comerciantes / vendedores,Obreros / trabajadores manuales,15.05,92.3,91.6,0.7142857142857143,0.875,0.625,1,2,413.93,-931.73,5,1,23,1,5,1,2,4,3,1,2,1,3,1,1,5,Graduado,0
Armadas,Sí,No,Medio Tiempo,Ciencias de la Salud,Primera Opción,Ingreso directo,Provincia,Alquila cuarto,No,No,H,Sí,Soltero,Técnica,Secundaria,Obreros / trabajadores manuales,Profesionales y técnicos,14.62,77.2,97.3,0.75,1.0,0.75,0,2,681.96,30.25,3,1,23,1,3,3,5,2,5,4,3,2,1,4,5,5,Graduado,0
Armadas,Sí,No,Medio Tiempo,Ciencias Humanas y Educación,Segunda Opción,Ingreso directo,Provincia,Residencia,No,No,H,Sí,Soltero,Educación Superior,Técnica,Servicios personales y domésticos,Profesionales y técnicos,14.29,72.8,71.8,0.8,1.0,0.8,0,1,203.34,-143.61999999999998,5,1,23,5,5,1,2,4,5,3,3,1,2,2,4,5,Graduado,0
Armadas,Sí,Sí,Medio Tiempo,Ciencias Empresariales,Primera Opción,Ingreso directo,Lima,Familiares,No,No,M,Sí,Soltero,Secundaria,Secundaria,Agricultores / ganaderos / pescadores,Comerciantes / vendedores,13.12,84.9,90.6,0.6666666666666666,0.75,0.5,1,1,993.82,-352.65,2,1,18,3,2,1,3,5,5,1,1,5,4,5,5,3,Graduado,0
Contado,No,No,No Trabaja,Ingeniería y Arquitectura,Primera Opción,Examen de admisión ordinario,Provincia,Familiares,Sí,No,M,Sí,Soltero,Técnica,Primaria,Agricultores / ganaderos / pescadores,Desempleado / sin ocupación,9.15,87.3,44.0,0.5,0.8571428571428571,0.42857142857142855,1,3,152.76,-269.67,0,0,25,2,1,1,5,1,1,5,4,1,5,1,5,1,Desertó,1
Otros,Sí,No,Medio Tiempo,Ciencias Humanas y Educación,Primera Opción,Examen de admisión ordinario,Lima,Alquila cuarto,No,No,H,Sí,Soltero,Secundaria,Secundaria,Ama de casa / labores del hogar,Comerciantes / vendedores,9.13,85.4,80.2,0.5,1.0,0.5,0,2,176.5,-601.99,1,1,25,1,1,3,3,3,4,2,3,3,5,3,5,5,Graduado,0
Armadas,Sí,No,Tiempo completo,Ciencias de la Salud,Segunda Opción,Ingreso directo,Lima,Familiares,No,No,M,No,Soltero,Técnica,Educación Superior,Obreros / trabajadores manuales,Obreros / trabajadores manuales,12.46,85.3,68.2,0.6666666666666666,0.8571428571428571,0.5714285714285714,1,2,1267.28,1004.1199999999999,10,2,21,1,5,4,3,3,3,1,2,1,5,1,1,4,Graduado,0
Armadas,Sí,Sí,Medio Tiempo,Ciencias Empresariales,Primera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,M,Sí,Soltero,Técnica,Técnica,Comerciantes / vendedores,Profesionales y técnicos,13.78,76.7,97.2,0.6666666666666666,1.0,0.6666666666666666,0,2,400.8,329.16,4,1,23,3,4,2,2,4,2,1,3,1,5,4,3,1,Graduado,0
Armadas,No,No,Medio Tiempo,Ciencias Empresariales,Segunda Opción,Ingreso directo,Lima,Alquila cuarto,No,No,H,No,Casado,Técnica,Secundaria,Comerciantes / vendedores,Servicios personales y domésticos,9.62,96.7,91.4,0.42857142857142855,1.0,0.42857142857142855,0,4,2879.25,2277.43,5,1,21,2,5,5,5,5,5,1,3,5,4,4,4,3,Graduado,0
Armadas,Sí,No,Medio Tiempo,Ciencias Humanas y Educación,Primera Opción,Examen de admisión ordinario,Lima,Alquila cuarto,No,No,H,Sí,Soltero,Técnica,Primaria,Servicios personales y domésticos,Empleados administrativos / de oficina,10.06,81.2,68.2,0.5,1.0,0.5,0,3,2350.0,1574.4,2,1,24,2,2,4,5,3,3,2,1,3,5,5,1,2,Desertó,1
Armadas,Sí,No,No Trabaja,Ingeniería y Arquitectura,Tercera Opción,Ingreso directo,Lima,Alquila cuarto,No,No,H,Sí,Soltero,Secundaria,Primaria,Comerciantes / vendedores,Profesionales y técnicos,7.88,89.6,87.2,0.3333333333333333,0.75,0.25,1,2,1032.08,261.0799999999999,0,0,19,1,2,5,5,5,1,1,4,3,5,4,2,5,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias de la Salud,Primera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,H,Sí,Soltero,Secundaria,Educación Superior,Obreros / trabajadores manuales,Desempleado / sin ocupación,11.67,100.0,83.6,0.6,1.0,0.6,0,2,479.41,-77.93,0,0,23,1,4,3,5,2,4,4,4,1,5,1,3,2,Graduado,0
Contado,Sí,No,Medio Tiempo,Ciencias de la Salud,Primera Opción,Examen de admisión ordinario,Lima,Residencia,No,No,M,Sí,Soltero,Secundaria,Secundaria,Servicios personales y domésticos,Obreros / trabajadores manuales,10.65,78.6,72.1,0.5,0.8571428571428571,0.42857142857142855,1,3,1021.82,657.09,1,1,26,2,1,2,1,2,1,1,1,2,5,2,4,4,Graduado,0
Contado,Sí,No,Tiempo completo,Ciencias de la Salud,Primera Opción,Ingreso directo,Provincia,Familiares,No,No,H,No,Soltero,Primaria,Secundaria,Desempleado / sin ocupación,Desempleado / sin ocupación,14.62,83.9,77.9,0.6666666666666666,1.0,0.6666666666666666,0,2,176.53,-592.99,10,2,21,2,5,1,2,3,2,4,4,5,5,1,1,5,Graduado,0
Armadas,Sí,No,Medio Tiempo,Ciencias de la Salud,Tercera Opción,Ingreso directo,Provincia,Familiares,No,No,H,Sí,Soltero,Secundaria,Secundaria,Comerciantes / vendedores,Profesionales y técnicos,6.78,91.8,74.4,0.25,1.0,0.25,0,3,91.46,-560.3299999999999,1,1,23,2,1,1,1,5,3,2,1,5,4,2,4,4,Graduado,0
Otros,Sí,No,Medio Tiempo,Ciencias Empresariales,Primera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,M,Sí,Soltero,Secundaria,Secundaria,Profesionales y técnicos,Militares / policías / fuerzas del orden,12.84,79.6,71.4,0.6,0.8333333333333334,0.5,1,2,1328.94,1079.2,1,1,21,5,1,4,4,1,4,5,4,3,2,5,5,3,Graduado,0
Contado,Sí,Sí,No Trabaja,Ciencias Empresariales,Primera Opción,Ingreso directo,Provincia,Familiares,No,No,M,No,Soltero,Técnica,Educación Superior,Obreros / trabajadores manuales,Desempleado / sin ocupación,11.87,85.8,66.0,0.6,0.8333333333333334,0.5,1,2,964.37,657.9,0,0,21,2,5,5,5,1,4,5,1,1,3,1,5,4,Desertó,1
Armadas,Sí,No,Tiempo completo,Ingeniería y Arquitectura,Primera Opción,Examen de admisión ordinario,Provincia,Residencia,No,No,M,Sí,Soltero,Secundaria,Educación Superior,Empleados administrativos / de oficina,Empleados administrativos / de oficina,8.7,76.6,81.4,0.42857142857142855,1.0,0.42857142857142855,0,4,300.94,106.06,10,2,20,1,5,1,5,2,2,5,3,4,5,3,4,2,Desertó,1
Armadas,Sí,No,No Trabaja,Ciencias Humanas y Educación,Primera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,H,No,Soltero,Técnica,Secundaria,Otros / no especificado,Profesionales y técnicos,14.29,78.5,71.5,0.7142857142857143,1.0,0.7142857142857143,0,2,884.84,772.1700000000001,0,0,18,2,5,1,5,2,5,3,4,1,5,5,1,5,Desertó,1
Armadas,Sí,No,Tiempo completo,Teología,Segunda Opción,Ingreso directo,Lima,Familiares,No,No,H,No,Soltero,Educación Superior,Primaria,Servicios personales y domésticos,Comerciantes / vendedores,10.29,89.4,74.9,0.6666666666666666,0.75,0.5,1,1,1330.18,1149.23,6,2,16,3,3,5,5,2,5,3,3,4,3,1,5,1,Graduado,0
Armadas,No,No,No Trabaja,Ciencias de la Salud,Primera Opción,Examen de admisión ordinario,Lima,Familiares,No,No,H,Sí,Soltero,Técnica,Educación Superior,Ama de casa / labores del hogar,Servicios personales y domésticos,10.72,79.2,84.4,0.5,1.0,0.5,0,3,1268.57,797.4599999999999,0,0,25,4,3,1,3,1,5,5,4,3,2,3,4,5,Graduado,0
Armadas,Sí,No,Medio Tiempo,Ingeniería y Arquitectura,Primera Opción,Examen de admisión ordinario,Provincia,Residencia,No,No,M,No,Soltero,Secundaria,Secundaria,Ama de casa / labores del hogar,Desempleado / sin ocupación,11.71,80.7,85.2,0.6,1.0,0.6,0,2,459.99,-68.81999999999994,3,1,25,1,3,4,3,5,1,4,1,3,5,1,5,4,Graduado,0
Armadas,Sí,No,Tiempo completo,Ingeniería y Arquitectura,Primera Opción,Examen de admisión ordinario,Provincia,Familiares,No,No,H,Sí,Soltero,Secundaria,Educación Superior,Desempleado / sin ocupación,Agricultores / ganaderos / pescadores,19.19,87.1,76.7,1.0,1.0,1.0,0,0,555.6,362.48,4,2,22,4,2,5,5,3,2,3,1,4,4,1,1,1,Graduado,0
Contado,Sí,No,No Trabaja,Ciencias Empresariales,Segunda Opción,Ingreso por reingreso,Provincia,Familiares,No,No,M,No,Soltero,Secundaria,Educación Superior,Servicios personales y domésticos,Desempleado / sin ocupación,9.71,84.8,48.4,0.5714285714285714,1.0,0.5714285714285714,0,3,110.23,-235.76,0,0,23,1,5,1,3,1,5,1,3,5,4,4,3,3,Graduado,0
Armadas,Sí,No,Medio Tiempo,Ingeniería y Arquitectura,Primera Opción,Examen de admisión ordinario,Lima,Alquila cuarto,No,No,M,Sí,Soltero,Secundaria,Técnica,Obreros / trabajadores manuales,Empleados administrativos / de oficina,7.39,88.2,76.6,0.3333333333333333,0.8571428571428571,0.2857142857142857,1,4,1105.07,792.4499999999999,5,1,22,4,5,5,4,5,5,1,3,3,5,1,1,3,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias Empresariales,Primera Opción,Ingreso por traslado interno,Provincia,Residencia,No,No,H,No,Soltero,Educación Superior,Técnica,Empleados administrativos / de oficina,Comerciantes / vendedores,9.8,79.0,71.3,0.5,1.0,0.5,0,2,844.24,21.200000000000045,0,0,21,3,2,1,1,4,4,2,1,2,2,2,5,1,Graduado,0
Armadas,Sí,No,No Trabaja,Ingeniería y Arquitectura,Segunda Opción,Ingreso directo,Lima,Familiares,No,No,M,Sí,Soltero,Técnica,Secundaria,Ama de casa / labores del hogar,Profesionales y técnicos,13.79,93.0,77.6,0.7142857142857143,1.0,0.7142857142857143,0,2,3209.95,2831.52,0,0,21,3,2,4,5,2,4,4,2,2,3,1,2,2,Graduado,0
Armadas,Sí,No,No Trabaja,Ciencias Humanas y Educación,Primera Opción,Ingreso por convenio o beca especial,Lima,Familiares,Sí,No,M,Sí,Soltero,Técnica,Educación Superior,Empleados administrativos / de oficina,Comerciantes / vendedores,14.98,91.2,88.5,0.6666666666666666,0.8571428571428571,0.5714285714285714,1,2,3710.68,2579.56,0,0,25,3,1,1,2,4,3,5,2,1,5,1,5,5,Graduado,0
